key_or_source_string,source_files,english_value,russian_value,japanese_value,market_adaptation
,iOS Car Dealer Tracker/Ezcar24Business/Ezcar24BusinessApp.swift; iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DebtViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/UserViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartsInventoryViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartSalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/AccountTransactionsViewModel.swift,,,,no
%,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DebtViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartsInventoryViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/AccountTransactionsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/SalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift,%,%,%,no
% of sale price,iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift,% of sale price,% от цены продажи,販売価格の%,yes
%@ %@,catalog/manual,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,no
%@ %@ %@,catalog/manual,%1$@ %2$@ %3$@,%1$@ %2$@ %3$@,%1$@ %2$@ %3$@,no
%@ • %@,catalog/manual,%1$@ • %2$@,%1$@ • %2$@,%1$@ • %2$@,no
%@ • %@%@,catalog/manual,%1$@ • %2$@%3$@,%1$@ • %2$@%3$@,%1$@ • %2$@%3$@,no
%@ • Purchase %@ • Expenses %@,catalog/manual,%1$@ • Purchase %2$@ • Expenses %3$@,%1$@ • Покупка %2$@ • Расходы %3$@,%1$@ • 仕入 %2$@ • 経費 %3$@,yes
%@%%,catalog/manual,%@%%,%@%%,%@%%,no
%@/day,catalog/manual,%@/day,%@/день,%@/日,no
%@: %@,catalog/manual,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,no
%@: %lld,catalog/manual,%1$@: %2$lld,%1$@: %2$lld,%1$@: %2$lld,no
%d km,catalog/manual,%d km,%d км,%d km,no
%lld,catalog/manual,%lld,%lld,%lld,no
%lld / %lld,catalog/manual,%1$lld / %2$lld,%1$lld / %2$lld,%1$lld / %2$lld,no
%lld Active Alert%@,catalog/manual,%1$lld Active Alert%2$@,%1$lld активных предупреждени%2$@,有効なアラート %1$lld件%2$@,no
%lld days,catalog/manual,%lld days,%lld дн.,%lld日,no
%lld exp,catalog/manual,%lld exp,%lld расх.,%lld件の経費,no
%lld properties,catalog/manual,%lld properties,%lld объектов,%lld項目,no
%lld total,catalog/manual,%lld total,%lld всего,合計%lld件,no
%lld · %@,catalog/manual,%1$lld · %2$@,%1$lld · %2$@,%1$lld · %2$@,no
%lld%%,catalog/manual,%lld%%,%lld%%,%lld%%,no
%lld/%lld,catalog/manual,%1$lld/%2$lld,%1$lld/%2$lld,%1$lld/%2$lld,no
%lldd,catalog/manual,%lldd,%lldд,%lld日,no
(%lld),catalog/manual,(%lld),(%lld),(%lld),no
+ %lld more vehicles,catalog/manual,+ %lld more vehicles,+ ещё %lld авто,他%lld台,yes
+%lld,catalog/manual,+%lld,+%lld,+%lld,no
+14155551234,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,+14155551234,+14155551234,+14155551234,no
- %@,catalog/manual,- %@,- %@,- %@,no
0,iOS Car Dealer Tracker/Ezcar24Business/Ezcar24BusinessApp.swift; iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DebtViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/UserViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartsInventoryViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartSalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/AccountTransactionsViewModel.swift,0,0,0,no
0.00,iOS Car Dealer Tracker/Ezcar24Business/Views/AddFinancialAccountView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddPartSaleView.swift,0.00,0.00,0.00,no
1. Ask team admin for the Team Invite Code.,iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift,1. Ask team admin for the Team Invite Code.,1. Попросите администратора команды дать код приглашения.,1. チーム管理者にチーム招待コードを確認してください。,no
2. Enter code below and tap Join Team.,iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift,2. Enter code below and tap Join Team.,2. Введите код ниже и нажмите «Вступить в команду».,2. 下にコードを入力し、「チームに参加」をタップします。,no
3. Switch organization from the app switcher.,iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift,3. Switch organization from the app switcher.,3. Переключите организацию в переключателе приложения.,3. アプリ内の切り替えから組織を選択します。,no
3_months,iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ClientListView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ExpenseListView.swift,3 Months,3 месяца,3か月,no
6_months,iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ClientListView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ExpenseListView.swift,6 Months,6 месяцев,6か月,no
7 Days Free,catalog/manual,7 Days Free,7 дней бесплатно,7日間無料,no
?,iOS Car Dealer Tracker/Ezcar24Business/Ezcar24BusinessApp.swift; iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DebtViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/UserViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartsInventoryViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartSalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/AccountTransactionsViewModel.swift,?,?,?,no
A faster operator-level scan before the detailed tables.,iOS Car Dealer Tracker/Ezcar24Business/Views/MonthlyReportPreviewView.swift,A faster operator-level scan before the detailed tables.,Быстрый операционный обзор перед подробными таблицами.,詳細表の前に、現場運用向けの概要をすばやく確認できます。,no
APR %,iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift,APR %,Годовая ставка %,年率%,no
Account,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DebtViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartSalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/AccountTransactionsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/SalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/FinancialAccountsViewModel.swift,Account,Счет,口座,yes
Account Balances,iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift,Account Balances,Балансы счетов,口座残高,yes
Account Details,iOS Car Dealer Tracker/Ezcar24Business/Views/EditAccountView.swift,Account Details,Детали счета,口座詳細,yes
Account Error,iOS Car Dealer Tracker/Ezcar24Business/Views/AddFinancialAccountView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/EditAccountView.swift,Account Error,Ошибка счета,口座エラー,yes
Account Name,iOS Car Dealer Tracker/Ezcar24Business/Views/AddFinancialAccountView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/EditAccountView.swift,Account Name,Название счета,口座名,yes
Account Name (optional),iOS Car Dealer Tracker/Ezcar24Business/Views/AddFinancialAccountView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/EditAccountView.swift,Account Name (optional),Название счета (необязательно),口座名（任意）,yes
