resource_name,source_files,english_value,japanese_value,market_adaptation
app_name,resource/manual,Car Dealer Tracker,Car Dealer Tracker,no
l10n_0_30_days_79c8f34c8d,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/inventory/InventoryAnalyticsScreen.kt,0-30 days,0〜30日,no
l10n_10_1df30ffd07,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/HoldingCostSettingsScreen.kt,10%,10%,no
l10n_15_2b01c5b342,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/HoldingCostSettingsScreen.kt,15%,15%,no
l10n_20_ea7ba4661a,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/HoldingCostSettingsScreen.kt,20%,20%,no
l10n_25_5e1164e36f,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/HoldingCostSettingsScreen.kt,25%,25%,no
l10n_31_60_days_9ba963c672,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/inventory/InventoryAnalyticsScreen.kt,31-60 days,31〜60日,no
l10n_61_90_days_d441b757a6,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/inventory/InventoryAnalyticsScreen.kt,61-90 days,61〜90日,no
l10n_90_days_025be66f3a,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/inventory/InventoryAnalyticsScreen.kt,90+ days,90日超,no
l10n_about_holding_costs_3d2034fe33,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/HoldingCostSettingsScreen.kt,About Holding Costs,保管コストについて,no
l10n_access_updated_51fe14626d,resource/manual,Access updated.,アクセス権を更新しました。,no
l10n_account_85dfa32c97,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/expense/AddExpenseSheet.kt,Account,口座,no
l10n_account_name_db3b79e181,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/finance/FinancialAccountScreens.kt,Account Name,口座名,no
l10n_account_transactions_11823944ea,resource/manual,Account Transactions,口座取引,no
l10n_accounts_36bae31694,resource/manual,Accounts,口座,no
l10n_active_member_08604aa2d6,resource/manual,Active member,有効なメンバー,no
l10n_active_subscription_ca7dbfa9fb,resource/manual,Active subscription,サブスクリプション有効,no
l10n_add_61cc55aa04,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/dashboard/DashboardScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/expense/AddExpenseSheet.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/finance/DebtScreens.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/finance/FinancialAccountScreens.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartsDashboardScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/sale/SalesScreen.kt,Add,追加,no
l10n_add_a_note_what_was_this_expense_for_c08bd5a3bf,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/expense/ExpenseDetailBottomSheet.kt,Add a note (what was this expense for?),メモを追加（何の経費ですか？）,no
l10n_add_account_568c7279d9,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/finance/FinancialAccountScreens.kt,Add Account,口座を追加,no
l10n_add_account_feature_coming_soon_69f93d7502,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/expense/AddExpenseSheet.kt,Add Account feature coming soon,口座追加機能は近日対応予定です,no
l10n_add_client_d2bacebb97,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientListScreen.kt,Add Client,顧客を追加,no
l10n_add_deposit_09a9471993,resource/manual,Add Deposit,入金を追加,no
l10n_add_expense_f53d122b20,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/dashboard/DashboardScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/expense/ExpenseScreen.kt,Add Expense,経費を追加,no
l10n_add_interaction_5e56ca5d10,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt,Add Interaction,対応履歴を追加,no
l10n_add_lead_6a1df4c114,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/crm/LeadManagementScreen.kt,Add Lead,リードを追加,no
l10n_add_line_item_dc45f5a83e,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartsDashboardScreen.kt,Add Line Item,明細を追加,no
